route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,continuous_pickup,continuous_drop_off
M1,A,M1,СЛИВНИЦА - БИЗНЕС ПАРК СОФИЯ - СЛИВНИЦА,,1,,EB2227,FFFFFF,,,
A99,A,84,УЛ. ГЕН. ГУРКО - ЛЕТИЩЕ СОФИЯ ТЕРМИНАЛ 2 - УЛ. ГЕН. ГУРКО,,3,,BE1E2D,FFFFFF,,,
A77,A,67,КВ. СИМЕОНОВО - СЕМИНАРИЯТА - КВ. СИМЕОНОВО,,3,,BE1E2D,FFFFFF,,,
A263,A,X1,Ж.К. ГОЦЕ ДЕЛЧЕВ - Ж.К. ДРУЖБА-2 - Ж.К. ГОЦЕ ДЕЛЧЕВ,,3,,BE1E2D,FFFFFF,,,
TM25,A,5,КВ. ОВЧА КУПЕЛ - КВ. КНЯЖЕВО - КВ. ОВЧА КУПЕЛ,,0,,F7941D,FFFFFF,,,
A241,A,M3,Ж.К. ОВЧА КУПЕЛ-2 - МЕТРОСТАНЦИЯ ХАДЖИ ДИМИТЪР - Ж.К. ОВЧА КУПЕЛ-2,,3,,BE1E2D,FFFFFF,,,
A29,A,107,БОЯНСКА ЦЪРКВА - МИТНИЦА СУХОДОЛ - БОЯНСКА ЦЪРКВА,,3,,BE1E2D,FFFFFF,,,
A246,A,109,Ж.К. ЛОЗЕНЕЦ - МЕТРОСТАНЦИЯ АКАД. А. Т.- БАЛАН - Ж.К. ЛОЗЕНЕЦ,,3,,BE1E2D,FFFFFF,,,
A274,A,806,МЕТРОСТАНЦИЯ ГОРНА БАНЯ - Метростанция Горна баня - МЕТРОСТАНЦИЯ ГОРНА БАНЯ,,3,,BE1E2D,FFFFFF,,,
A56,A,86,ж.к. Свобода - АП Малашевци - ж.к. Свобода,,3,,BE1E2D,FFFFFF,,,
A275,A,115,АП МАЛАШЕВЦИ - ГРАД БУХОВО - АП МАЛАШЕВЦИ,,3,,BE1E2D,FFFFFF,,,
A2,A,9,АВТОБАЗА ИСКЪР - Ул. Ген. Гурко - АВТОБАЗА ИСКЪР,,3,,BE1E2D,FFFFFF,,,
A45,A,23,ГАРА КУРИЛО - АВТОСТАНЦИЯ ОРЛАНДОВЦИ - ГАРА КУРИЛО,,3,,BE1E2D,FFFFFF,,,
A209,A,112,АВТОСТАНЦИЯ ИЗТОК - СЕЛО ДОЛНИ БОГРОВ - АВТОСТАНЦИЯ ИЗТОК,,3,,BE1E2D,FFFFFF,,,
TB8,A,9,ж.к. Борово - ПЛ. СТОЧНА ГАРА - ж.к. Борово,,11,,27AAE1,FFFFFF,,,
A268,A,180,МЕТРОСТАНЦИЯ БИЗНЕС ПАРК - МЕТРОСТАНЦИЯ БИЗНЕС ПАРК - МЕТРОСТАНЦИЯ БИЗНЕС ПАРК,,3,,BE1E2D,FFFFFF,,,
TM29,A,11,Гара София север - Кв. Овча Купел - Гара София север,,0,,F7941D,FFFFFF,,,
TB10,A,1,Ж.К. ЛЕВСКИ Г - УЛ. ПОП ГРУЙО - Ж.К. ЛЕВСКИ Г,,11,,27AAE1,FFFFFF,,,
A98,A,54,МЕТРОСТАНЦИЯ СЛИВНИЦА - ПЪТЕН ВЪЗЕЛ КАЛОТИНА - МЕТРОСТАНЦИЯ СЛИВНИЦА,,3,,BE1E2D,FFFFFF,,,
TB43,A,288,Метростанция Витоша - АВТОСТАНЦИЯ ГЕО МИЛЕВ - Метростанция Витоша,,11,,27AAE1,FFFFFF,,,
A195,A,49,МЕТРОСТАНЦИЯ СЛИВНИЦА - КВ. КЛИСУРА - МЕТРОСТАНЦИЯ СЛИВНИЦА,,3,,BE1E2D,FFFFFF,,,
A26,A,108,Хюндай България - ж.к. Люлин -5 - Хюндай България,,3,,BE1E2D,FFFFFF,,,
A90,A,413,"Технополис ж,к. Младост 4 - ПЛОЩАД ЦЕНТРАЛНА ГАРА - Технополис ж,к. Младост 4",,3,,BE1E2D,FFFFFF,,,
M4,A,M4,СЛИВНИЦА - ЛЕТИЩЕ СОФИЯ - СЛИВНИЦА,,1,,FFDE17,000000,,,
TB38,A,12T,ЦЕНТРАЛНА ГАРА - КВ. ИЛИЯНЦИ - ЦЕНТРАЛНА ГАРА,,11,,27AAE1,FFFFFF,,,
A4,A,11,АВТОСТАНЦИЯ ГЕО МИЛЕВ - Ж.К. ОВЧА КУПЕЛ-2 - АВТОСТАНЦИЯ ГЕО МИЛЕВ,,3,,BE1E2D,FFFFFF,,,
A220,A,184,ПЛ. ОРЛОВ МОСТ - ЛЕТИЩЕ СОФИЯ ТЕРМИНАЛ 1 - ПЛ. ОРЛОВ МОСТ,,3,,BE1E2D,FFFFFF,,,
A25,A,63,Ж.К. КРАСНО СЕЛО - БУЛ. ЦАР БОРИС ІІІ - Ж.К. КРАСНО СЕЛО,,3,,BE1E2D,FFFFFF,,,
A42,A,21,ЦЕНТРАЛНА ГАРА - СЕЛО ВОЙНЕГОВЦИ - ЦЕНТРАЛНА ГАРА,,3,,BE1E2D,FFFFFF,,,
A6,A,64,ЦЕНТЪР ПО ХИГИЕНА - ЗООПАРКА - ЦЕНТЪР ПО ХИГИЕНА,,3,,BE1E2D,FFFFFF,,,
TM56,A,21,ДЕПО ИСКЪР - Ж.К. ГЕО МИЛЕВ - ДЕПО ИСКЪР,,0,,F7941D,FFFFFF,,,
A54,A,82,ж.к. Люлин -5 - ПЛОЩАД ЦЕНТРАЛНА ГАРА - ж.к. Люлин -5,,3,,BE1E2D,FFFFFF,,,
TB34,A,20T,ТЕАТЪР СОФИЯ - АВТОСТАНЦИЯ ГЕО МИЛЕВ - ТЕАТЪР СОФИЯ,,11,,27AAE1,FFFFFF,,,
A167,A,294,НСБАЛ ПО ОНКОЛОГИЯ - СТУДЕНТСКИ ГРАД - НСБАЛ ПО ОНКОЛОГИЯ,,3,,BE1E2D,FFFFFF,,,
A43,A,22,СЕЛО ПОДГУМЕР - ЦЕНТРАЛНА ГАРА - СЕЛО ПОДГУМЕР,,3,,BE1E2D,FFFFFF,,,
A24,A,58,ГАРА ВЛАДАЯ - АВТОСТАНЦИЯ КНЯЖЕВО - ГАРА ВЛАДАЯ,,3,,BE1E2D,FFFFFF,,,
TB33,A,6,село Герман - АВТОСТАНЦИЯ ГЕО МИЛЕВ - село Герман,,11,,27AAE1,FFFFFF,,,
A261,A,200,ПЛ. СВ. АЛ. НЕВСКИ - ПЛ.СВ. АЛЕКСАНДЪР НЕВСКИ - ПЛ. СВ. АЛ. НЕВСКИ,,3,,BE1E2D,FFFFFF,,,
A215,A,110,Ж.К. МЛАДОСТ-1 - Ж.К. БЪКСТОН - Ж.К. МЛАДОСТ-1,,3,,BE1E2D,FFFFFF,,,
TM58,A,13,Гара Захарна фабрика - Метростанция Витоша - Гара Захарна фабрика,,0,,F7941D,FFFFFF,,,
A65,A,103,АВТОСТАНЦИЯ ОВЧА КУПЕЛ - ВЗ. ЛЮЛИН - АВТОСТАНЦИЯ ОВЧА КУПЕЛ,,3,,BE1E2D,FFFFFF,,,
A7,A,65,БОЯНСКА ЦЪРКВА - Ж.К. КРАСНО СЕЛО - БОЯНСКА ЦЪРКВА,,3,,BE1E2D,FFFFFF,,,
A63,A,66,ХОТЕЛ МОРЕНИ - ЗООПАРКА - ХОТЕЛ МОРЕНИ,,3,,BE1E2D,FFFFFF,,,
A120,A,108A,Ж.К. ЛЮЛИН -5 - БУЛ. ЛОМСКО ШОСЕ - Ж.К. ЛЮЛИН -5,,3,,BE1E2D,FFFFFF,,,
A93,A,18A,ГРОБИЩЕН ПАРК МАЛАШЕВЦИ - АВТОСТАНЦИЯ ОРЛАНДОВЦИ - ГРОБИЩЕН ПАРК МАЛАШЕВЦИ,,3,,BE1E2D,FFFFFF,,,
A85,A,213,Ж.К. МЛАДОСТ 4- временна - Централна гара - Ж.К. МЛАДОСТ 4- временна,,3,,BE1E2D,FFFFFF,,,
TB26,A,184,ЛЕТИЩЕ СОФИЯ ТЕРМИНАЛ 1 - УЛ. ГЕН. ГУРКО - ЛЕТИЩЕ СОФИЯ ТЕРМИНАЛ 1,,11,,27AAE1,FFFFFF,,,
A22,A,56,Село Мало Бучино - Метростанция Вардар - Село Мало Бучино,,3,,BE1E2D,FFFFFF,,,
A121,A,8TM,Ж.К. ЛЮЛИН-5 - БУЛ. АЛ. СТАМБОЛИЙСКИ - Ж.К. ЛЮЛИН-5,,3,,BE1E2D,FFFFFF,,,
A271,A,187,ЖП ГАРА ВЕРИЛА - ГАРА ИСКЪР - ЖП ГАРА ВЕРИЛА,,3,,BE1E2D,FFFFFF,,,
A35,A,118,СЕЛО ЖЕЛЯВА - АВТОСТАНЦИЯ ИЗТОК - СЕЛО ЖЕЛЯВА,,3,,BE1E2D,FFFFFF,,,
A108,A,260,Кв.Горна баня - Бул. Прага - Кв.Горна баня,,3,,BE1E2D,FFFFFF,,,
A267,A,182,МЕТРОСТАНЦИЯ БИЗНЕС ПАРК - МЕТРОСТАНЦИЯ БИЗНЕС ПАРК - МЕТРОСТАНЦИЯ БИЗНЕС ПАРК,,3,,BE1E2D,FFFFFF,,,
A205,A,505,ПЛ. ОРЛОВ МОСТ - Парк музей Врана - ПЛ. ОРЛОВ МОСТ,,3,,BE1E2D,FFFFFF,,,
A104,A,27,МЕТРОСТАНЦИЯ КН. МАРИЯ ЛУИЗА - СЕЛО КЪТИНА - МЕТРОСТАНЦИЯ КН. МАРИЯ ЛУИЗА,,3,,BE1E2D,FFFFFF,,,
A94,A,79А,УЛ. ВАСИЛ КЪНЧЕВ - БУЛ. ИЛИЯНЦИ-ПОДЛЕЗА - УЛ. ВАСИЛ КЪНЧЕВ,,3,,BE1E2D,FFFFFF,,,
TB6,A,6,Ж.к. Банишора - Ж.к. Гоце Делчев - Ж.к. Банишора,,11,,27AAE1,FFFFFF,,,
TM37,A,3A,МЕТРОСТАНЦИЯ К. ВЕЛИЧКОВ - Гара Захарна фабрика - МЕТРОСТАНЦИЯ К. ВЕЛИЧКОВ,,0,,F7941D,FFFFFF,,,
A240,A,6ТМ,КВ. ОБЕЛЯ - ЦЕНТРАЛНА ГАРА - КВ. ОБЕЛЯ,,3,,BE1E2D,FFFFFF,,,
TB37,A,3TM,ПЛ. ВЪЗРАЖДАНЕ - БУЛ. КН. МАРИЯ ЛУИЗА - ПЛ. ВЪЗРАЖДАНЕ,,11,,27AAE1,FFFFFF,,,
A262,A,46,АВТОСТАНЦИЯ БАНКЯ - МАНАСТИР СВ. ПЕТКА ПАРАСКЕВА - АВТОСТАНЦИЯ БАНКЯ,,3,,BE1E2D,FFFFFF,,,
A202,A,12Т,Автостанция Илиянци - ГАРА СОФИЯ СЕВЕР - Автостанция Илиянци,,3,,BE1E2D,FFFFFF,,,
A273,A,95,СТУДЕНТСКИ ГРАД - КВ. МАНАСТИРСКИ ЛИВАДИ - СТУДЕНТСКИ ГРАД,,3,,BE1E2D,FFFFFF,,,
A144,A,12TM,ЦЕНТРАЛНА ГАРА - ГАРА СОФИЯ СЕВЕР - ЦЕНТРАЛНА ГАРА,,3,,BE1E2D,FFFFFF,,,
A68,A,3,ПЛОЩАД  НА АВИАЦИЯТА - СЕЛО ДОЛНИ ПАСАРЕЛ - ПЛОЩАД  НА АВИАЦИЯТА,,3,,BE1E2D,FFFFFF,,,
TM24,A,10,Метростанция Витоша - Ж.К. ЗАПАДЕН ПАРК - Метростанция Витоша,,0,,F7941D,FFFFFF,,,
A13,A,31,МЕТРОСТАНЦИЯ СЛИВНИЦА - СЕЛО ГОЛЯНОВЦИ - МЕТРОСТАНЦИЯ СЛИВНИЦА,,3,,BE1E2D,FFFFFF,,,
A225,A,N2,СТУДЕНТСКИ ГРАД - КВ. ОБЕЛЯ - СТУДЕНТСКИ ГРАД,,3,,000000,FFFFFF,,,
A37,A,120,УЛ. ТОДОРИНИ КУКЛИ - ЗООПАРКА - УЛ. ТОДОРИНИ КУКЛИ,,3,,BE1E2D,FFFFFF,,,
TM30,A,7,Ж.К. ИВАН ВАЗОВ - ПЛ. МАКЕДОНИЯ - Ж.К. ИВАН ВАЗОВ,,0,,F7941D,FFFFFF,,,
TM50,A,23,Ж.К. ГЕО МИЛЕВ - 28-МИ ПОЩЕНСКИ КЛОН - Ж.К. ГЕО МИЛЕВ,,0,,F7941D,FFFFFF,,,
TB4,A,8,ПЛ. СТОЧНА ГАРА - Ж.К. ГОЦЕ ДЕЛЧЕВ - ПЛ. СТОЧНА ГАРА,,11,,27AAE1,FFFFFF,,,
A8,A,77,Ж.К. ЗАПАДЕН ПАРК - ЦЕНТРАЛНА ГАРА - Ж.К. ЗАПАДЕН ПАРК,,3,,BE1E2D,FFFFFF,,,
A57,A,94,СТУДЕНТСКИ ГРАД - СУ СВ.КЛИМЕНТ ОХРИДСКИ - СТУДЕНТСКИ ГРАД,,3,,BE1E2D,FFFFFF,,,
TM27,A,1,ПЕТА ГРАДСКА БОЛНИЦА - Ж.К. ИВАН ВАЗОВ - ПЕТА ГРАДСКА БОЛНИЦА,,0,,F7941D,FFFFFF,,,
A84,A,204,УМБАЛ СВ. АННА - Ж.К. ГОЦЕ ДЕЛЧЕВ - УМБАЛ СВ. АННА,,3,,BE1E2D,FFFFFF,,,
M3,A,M3,Ген. Владимир Вазов - Горна баня - Ген. Владимир Вазов,,1,,39B54A,FFFFFF,,,
TM34,A,18,ПЛ. ЖУРНАЛИСТ - ПЛ. ЛЪВОВ МОСТ - ПЛ. ЖУРНАЛИСТ,,0,,F7941D,FFFFFF,,,
A27,A,81,СЕВЕРНА ПРОМИШЛЕНА ЗОНА - КВ. ИВАНЯНЕ - СЕВЕРНА ПРОМИШЛЕНА ЗОНА,,3,,BE1E2D,FFFFFF,,,
A234,A,185,СЕЛО ДОЛНИ ЛОЗЕН - АВТОСТАНЦИЯ ГЕО МИЛЕВ - СЕЛО ДОЛНИ ЛОЗЕН,,3,,BE1E2D,FFFFFF,,,
A119,A,83А,БУЛ. ЛОМСКО ШОСЕ - БАЛКАНКАР АД - БУЛ. ЛОМСКО ШОСЕ,,3,,BE1E2D,FFFFFF,,,
A190,A,1Tb,Ж.К. ЛЕВСКИ Г - МЕТРОСТАНЦИЯ ХАДЖИ ДИМИТЪР - Ж.К. ЛЕВСКИ Г,,3,,BE1E2D,FFFFFF,,,
A41,A,18,Мелницата Чепинци - Село Негован - Мелницата Чепинци,,3,,BE1E2D,FFFFFF,,,
A264,A,97,ХОТЕЛ АМБАСАДОР - МЕТРОСТАНЦИЯ ФР. ЖОЛИО-КЮРИ - ХОТЕЛ АМБАСАДОР,,3,,BE1E2D,FFFFFF,,,
A106,A,68,КВ. СИМЕОНОВО - Метростанция Витоша - КВ. СИМЕОНОВО,,3,,BE1E2D,FFFFFF,,,
A9,A,83,БАЛКАНКАР АД - ХЮНДАЙ БЪЛГАРИЯ - БАЛКАНКАР АД,,3,,BE1E2D,FFFFFF,,,
TB3,A,5,Надлез Надежда - ПЛОЩАД  НА АВИАЦИЯТА - Надлез Надежда,,11,,27AAE1,FFFFFF,,,
TB35,A,60,Ж.К. ОВЧА КУПЕЛ-2 - Ул. Пиротска - Ж.К. ОВЧА КУПЕЛ-2,,11,,27AAE1,FFFFFF,,,
A82,A,88,ЗООПАРКА - Ж.К. ДРУЖБА-2 - ЗООПАРКА,,3,,BE1E2D,FFFFFF,,,
TM40,A,15,ПЛ. МАКЕДОНИЯ - МЕТРОСТАНЦИЯ ВИТОША - ПЛ. МАКЕДОНИЯ,,0,,F7941D,FFFFFF,,,
A60,A,310,Ж.К. ЛЮЛИН-5 - ПЛ. СТОЧНА ГАРА - Ж.К. ЛЮЛИН-5,,3,,BE1E2D,FFFFFF,,,
TB40,A,Д1,Бул. Братя Бъкстон - Ж.К. ГОЦЕ ДЕЛЧЕВ - Бул. Братя Бъкстон,,11,,27AAE1,FFFFFF,,,
A242,A,Y1,БАЛКАНКАР АД - 32 СУ СВ. КЛИМЕНТ ОХРИДСКИ - БАЛКАНКАР АД,,3,,BE1E2D,FFFFFF,,,
A125,A,5TM,Бул. Братя Бъкстон - Автостанция Княжево - Бул. Братя Бъкстон,,3,,BE1E2D,FFFFFF,,,
A76,A,14,АВТОСТАНЦИЯ ИЗТОК - ГАРА ИСКЪР - АВТОСТАНЦИЯ ИЗТОК,,3,,BE1E2D,FFFFFF,,,
A110,A,90,АП МАЛАШЕВЦИ - ГРАД БУХОВО - АП МАЛАШЕВЦИ,,3,,BE1E2D,FFFFFF,,,
A40,A,20,ПЛ. ЛЪВОВ МОСТ - СЕЛО ЛОКОРСКО - ПЛ. ЛЪВОВ МОСТ,,3,,BE1E2D,FFFFFF,,,
TB2,A,11,Депо Искър - ПЛ. СТОЧНА ГАРА - Депо Искър,,11,,27AAE1,FFFFFF,,,
A217,A,304,НИМ - Ж.к. Дружба 2 - НИМ,,3,,BE1E2D,FFFFFF,,,
A208,A,11Tm,Ж.К. ЗАПАДЕН ПАРК - КВ. ПАВЛОВО - Ж.К. ЗАПАДЕН ПАРК,,3,,BE1E2D,FFFFFF,,,
TB36,A,74,БУЛ. КН. МАРИЯ ЛУИЗА - Ж.К. ГОЦЕ ДЕЛЧЕВ - БУЛ. КН. МАРИЯ ЛУИЗА,,11,,27AAE1,FFFFFF,,,
A252,A,X9,МЕТРОСТАНЦИЯ АКАД. А. Т.- БАЛАН - ХОТЕЛ ХИЛТЪН - МЕТРОСТАНЦИЯ АКАД. А. Т.- БАЛАН,,3,,BE1E2D,FFFFFF,,,
TB44,A,6TM,КВ. ОБЕЛЯ - БУЛ. КН. МАРИЯ ЛУИЗА - КВ. ОБЕЛЯ,,11,,27AAE1,FFFFFF,,,
A105,A,59,С. МЪРЧАЕВО-ТОЛУМСКА МАХАЛА - МЕТРОСТАНЦИЯ МИЗИЯ - С. МЪРЧАЕВО-ТОЛУМСКА МАХАЛА,,3,,BE1E2D,FFFFFF,,,
A53,A,79,УЛ. ВАСИЛ КЪНЧЕВ - СТИНД - УЛ. ВАСИЛ КЪНЧЕВ,,3,,BE1E2D,FFFFFF,,,
A1,A,72,УЛ. ВЕЛЧО АТАНАСОВ - ХОТЕЛ ПЛИСКА - УЛ. ВЕЛЧО АТАНАСОВ,,3,,BE1E2D,FFFFFF,,,
A49,A,28,СЕЛО ЧЕПИНЦИ - СЕЛО ЛОКОРСКО - СЕЛО ЧЕПИНЦИ,,3,,BE1E2D,FFFFFF,,,
A174,A,42A,КРАЯ НА КВ. МИХАЙЛОВО - АВТОСТАНЦИЯ БАНКЯ - КРАЯ НА КВ. МИХАЙЛОВО,,3,,BE1E2D,FFFFFF,,,
A44,A,101,ФОНДОВИ ЖИЛИЩА - ЦЕНТРАЛНА ГАРА - ФОНДОВИ ЖИЛИЩА,,3,,BE1E2D,FFFFFF,,,
TB39,A,73,КВ. ОВЧА КУПЕЛ - Ж.К. ОВЧА КУПЕЛ-2 - КВ. ОВЧА КУПЕЛ,,11,,27AAE1,FFFFFF,,,
A201,A,285,Пл. Сточна гара - Ж.к. Връбница 2 - Пл. Сточна гара,,3,,BE1E2D,FFFFFF,,,
TM47,A,22A,УЛ. ДИМИТЪР ПЕТКОВ - ЦЕНТРАЛНА ГАРА - УЛ. ДИМИТЪР ПЕТКОВ,,0,,F7941D,FFFFFF,,,
